Group Starts,Sum - Volume (Lynden/Aldergrove),Avg - Delay (Lynden/Aldergrove),Avg - Service Rate (Lynden/Aldergrove),Avg - Vehicles In Queue (Lynden/Aldergrove),Avg - Queue Length (Lynden/Aldergrove)
2015-01-01 00:00:00,50701.0,11.6,91.7,15.0,115.4
2015-02-01 00:00:00,43244.0,9.9,92.7,16.7,128.8
2015-03-01 00:00:00,40917.0,12.1,95.5,20.9,161.2
2015-04-01 00:00:00,41585.0,7.6,96.5,13.7,105.5
2015-05-01 00:00:00,40405.0,12.0,98.7,21.3,164.1
2015-06-01 00:00:00,44821.0,13.8,115.1,28.1,215.8
2015-07-01 00:00:00,47279.0,13.8,131.5,31.9,245.1
2015-08-01 00:00:00,44576.0,10.7,130.8,24.5,188.8
2015-09-01 00:00:00,40566.0,3.1,126.3,7.4,56.9
2015-10-01 00:00:00,38609.0,2.4,125.2,5.5,42.9
2015-11-01 00:00:00,9908.0,1.8,107.4,4.4,33.9
2015-12-01 00:00:00,,1.3,59.6,2.8,21.7
