Group Starts,Sum - Volume (Lynden/Aldergrove),Avg - Delay (Lynden/Aldergrove),Avg - Service Rate (Lynden/Aldergrove),Avg - Vehicles In Queue (Lynden/Aldergrove),Avg - Queue Length (Lynden/Aldergrove)
2015-01-01 00:00:00,36520.0,1.5,36.6,17.9,73.7
2015-02-01 00:00:00,25121.0,1.5,33.0,16.9,68.8
2015-03-01 00:00:00,38818.0,1.7,38.1,18.6,77.9
2015-04-01 00:00:00,38192.0,1.9,38.1,20.3,86.8
2015-05-01 00:00:00,42799.0,2.6,42.8,24.6,110.1
2015-06-01 00:00:00,42623.0,2.7,43.6,24.3,105.3
2015-07-01 00:00:00,45154.0,3.2,46.8,27.7,123.8
2015-08-01 00:00:00,40024.0,3.0,42.1,27.0,118.4
2015-09-01 00:00:00,33695.0,1.5,35.3,18.1,75.3
2015-10-01 00:00:00,33271.0,1.3,33.0,17.4,72.4
2015-11-01 00:00:00,31356.0,1.2,33.2,16.2,66.1
2015-12-01 00:00:00,17815.0,0.8,32.4,13.2,51.2
