Group Starts,Sum - Volume (Lynden/Aldergrove),Avg - Delay (Lynden/Aldergrove),Avg - Service Rate (Lynden/Aldergrove),Avg - Vehicles In Queue (Lynden/Aldergrove),Avg - Queue Length (Lynden/Aldergrove)
2015-01-01 00:00:00,87221.0,6.5,48.9,15.2,96.1
2015-02-01 00:00:00,68365.0,6.7,49.7,16.6,108.7
2015-03-01 00:00:00,79735.0,6.7,50.8,19.7,127.2
2015-04-01 00:00:00,79777.0,4.7,51.2,15.6,94.4
2015-05-01 00:00:00,83204.0,6.9,53.5,22.9,140.8
2015-06-01 00:00:00,87444.0,8.2,60.2,26.2,168.3
2015-07-01 00:00:00,92433.0,8.5,67.3,29.5,190.6
2015-08-01 00:00:00,84600.0,6.7,64.0,24.0,151.1
2015-09-01 00:00:00,74261.0,2.3,59.8,10.7,59.3
2015-10-01 00:00:00,71880.0,1.8,57.4,9.5,50.9
2015-11-01 00:00:00,41264.0,1.6,52.3,8.3,44.5
2015-12-01 00:00:00,17815.0,1.2,37.3,5.0,27.8
